q_gas,q_ch4,q_co2,q_h2,p_gas,p_gas_h2,p_gas_ch4,p_gas_co2
2809.373777,1710.026926,953.0324031,0.043091366,1.069187476,1.64E-05,0.650799615,0.362703716
2802.963917,1706.321592,950.6442023,0.042997685,1.069059278,1.64E-05,0.650796437,0.362578697
2799.059731,1704.067144,949.1871725,0.042940538,1.068981195,1.64E-05,0.650795591,0.362501459
2801.362876,1705.40996,950.0338171,0.042974078,1.069027258,1.64E-05,0.65080099,0.362542124
2796.736587,1702.72566,948.3201955,0.042906312,1.068934732,1.64E-05,0.650795146,0.362455441
2799.930722,1704.584362,949.4979512,0.042953032,1.068998614,1.64E-05,0.650801217,0.362513253
2801.149444,1705.287967,949.9529117,0.042970718,1.069022989,1.64E-05,0.650801421,0.362537423
2798.950812,1704.009637,949.1411377,0.042938553,1.068979016,1.64E-05,0.650797627,0.362497245
2801.178415,1705.30361,949.9648107,0.042971169,1.069023568,1.64E-05,0.650801013,0.362538411
2799.212068,1704.159836,949.2392979,0.042942379,1.068984241,1.64E-05,0.650797426,0.362502671
2801.397587,1705.429031,950.0477435,0.04297437,1.069027952,1.64E-05,0.650800626,0.362543181
2796.927017,1702.834125,948.3927589,0.042909021,1.06893854,1.64E-05,0.650794609,0.362459787
2800.172876,1704.722395,949.5901193,0.042956555,1.069003458,1.64E-05,0.650800581,0.362518732
2801.277003,1705.359344,950.0027977,0.042972589,1.06902554,1.64E-05,0.650800579,0.362540817
2799.8891,1704.551775,949.4909714,0.042952294,1.068997782,1.64E-05,0.650797943,0.362515695
2801.245282,1705.33927,949.9927171,0.04297216,1.069024906,1.64E-05,0.650799901,0.36254086
2799.831817,1704.517463,949.4708279,0.04295148,1.068996636,1.64E-05,0.65079746,0.362515032
2801.01806,1705.206361,949.9096199,0.042968845,1.069020361,1.64E-05,0.650799202,0.362537014
2796.088738,1702.344586,948.0854037,0.042896756,1.068921775,1.64E-05,0.650792363,0.362445268
2799.051502,1704.068826,949.1776677,0.04294015,1.06898103,1.64E-05,0.650798046,0.362498839
2801.180505,1705.300976,949.9694309,0.042971173,1.06902361,1.64E-05,0.650799548,0.362539918
2799.021059,1704.044393,949.1731611,0.042939572,1.068980421,1.64E-05,0.650795422,0.362500854
2801.220815,1705.322003,949.9867246,0.042971792,1.069024416,1.64E-05,0.650798698,0.362541574
2799.564286,1704.358114,949.3758511,0.04294754,1.068991286,1.64E-05,0.650795547,0.362511594
2801.499668,1705.481856,950.0919613,0.04297587,1.069029993,1.64E-05,0.650798313,0.362547536
2800.635627,1704.978433,949.7739906,0.042963215,1.069012713,1.64E-05,0.650796413,0.362532155
2803.675272,1706.741513,950.9005274,0.04300766,1.069073505,1.64E-05,0.650800095,0.362589266
