t,n_out_M,n_out_C,n_out_S,n_out_W
2.9166666666666665,3055.1079759697186,851.7676496074529,18.263335634554114,231.11210013760535
2.9583333333333335,3055.069213058682,851.0731178572586,18.22976651563633,231.0670791802657
3.0,3055.0307062262505,850.4210173393708,18.196762779496847,231.0246008405239
3.0416666666666665,3054.992482976458,849.8088750291811,18.164300035675087,230.98451990720267
3.0833333333333335,3054.9545644584587,849.2343592607657,18.132355145176057,230.94669917964939
3.125,3054.9169652109754,848.6952720427794,18.100906135477075,230.9110089959337
3.1666666666666665,3054.8796984984588,848.1895412073201,18.06993225625833,230.87732708854884
3.2083333333333335,3054.842770957174,847.7152151455618,18.039413787480644,230.84553794856956
3.25,3054.8061900754174,847.2704528747373,18.009332131906632,230.81553268727907
3.2916666666666665,3054.7699575437923,846.8535221524861,17.979669621775226,230.78720852264135
3.3333333333333335,3054.7340761150713,846.4627879706205,17.950409582599633,230.7604685102315
3.375,3054.6985448783166,846.0967130840038,17.92153621086329,230.73522128905904
3.4166666666666665,3054.663363017819,845.7538463333615,17.893034559223217,230.71138061534253
3.4583333333333335,3054.628528038609,845.4328231851803,17.864890489521827,230.68886528708674
3.5,3054.5940371131583,845.1323563597933,17.83709061850701,230.66759866912255
3.5416666666666665,3054.5598867215685,844.8512346697505,17.809622292400835,230.64750860215526
3.5833333333333335,3054.526073176755,844.5883163385413,17.782473536276825,230.62852703787232
3.625,3054.4925919639454,844.3425288598787,17.75563303080521,230.6105899904493
3.6666666666666665,3054.459438982144,844.1128594876063,17.72909005585923,230.59363704714303
3.7083333333333335,3054.4266107743815,843.8983506592482,17.702834451944202,230.57761111050678
3.75,3054.3941024830583,843.6981065830464,17.676856621690266,230.56245866546212
3.7916666666666665,3054.3619090674297,843.5112838474545,17.651147475002386,230.54812929560026
3.8333333333333335,3054.330027394621,843.3370779620307,17.62569836122503,230.53457501090548
3.875,3054.2984530731496,843.1747378668471,17.60050111176843,230.52175091703535
3.9166666666666665,3054.2671805043683,843.023563849024,17.575548019910414,230.50961509466902
3.9583333333333335,3054.2362062131306,842.882880901154,17.550831691911263,230.49812722032567
4.0,3054.2055259587287,842.7520589264366,17.52634514555452,230.48724959014766
4.041666666666667,3054.175134879137,842.6305163809883,17.502081841254743,230.47694734438326
4.083333333333333,3054.1450289312543,842.5176890676485,17.478035449815952,230.46718670366567
4.125,3054.1152038735913,842.4130495517176,17.454199989890675,230.45793605882028
4.166666666666667,3054.0856557102716,842.3161122145431,17.43056987850743,230.4491662971087
4.208333333333333,3054.0563803736954,842.2264065090386,17.407139695533594,230.44084919721206
4.25,3054.027373968139,842.1434914049471,17.38390430943519,230.43295830030664
4.291666666666667,3053.9986327019756,842.0669606730254,17.360858917782945,230.42546921915755
4.333333333333333,3053.970152953445,841.9964217916482,17.337998869649265,230.41835839131926
4.375,3053.9419312552413,841.9315059950948,17.31531974805358,230.41160367389125
4.416666666666667,3053.913963635815,841.871880004084,17.2928174506327,230.40518499922555
4.458333333333333,3053.8862468377606,841.8172155741231,17.270487962037627,230.3990826427766
4.5,3053.858777747635,841.7672014693047,17.248327439461903,230.39327789860445
4.541666666666667,3053.8315533087793,841.7215439588665,17.226332213399402,230.38775310348856
4.583333333333333,3053.8045704897854,841.6799670365149,17.204498787422313,230.3824916479584
4.625,3053.777825140539,841.6422462090425,17.182824090701605,230.37747991050546
4.666666666666667,3053.751314828864,841.6081192249162,17.16130480113236,230.37270213579842
4.708333333333333,3053.725036607449,841.5773537608894,17.139937855187597,230.3681443130422
4.75,3053.6989876007897,841.549727715641,17.11872029680926,230.36379304295477
4.791666666666667,3053.673164832375,841.5250475483411,17.097649424119915,230.35963661448855
4.833333333333333,3053.647565236331,841.5031449004945,17.076722760112734,230.35566480516894
4.875,3053.6221861124845,841.4838219615076,17.055937611248595,230.35186566955167
4.916666666666667,3053.5970246403035,841.4669061962579,17.035291508016844,230.3482287543709
4.958333333333333,3053.5720780133593,841.4522327950177,17.014782062213786,230.34474406616033
5.0,3053.54734386518,841.4396718285082,16.994407199234814,230.3414037066308
